name,median_early,median_mid,high_meaning,times_rank,usnews_rank,all_docs,all_cited,2015_docs,2015_cited
Massachusetts Institute of Technology (MIT),109000,153000,76,3,7,127516,6418284,6497,33288
Princeton University,93700,152000,,5,1,66147,2774230,3146,13828
Stanford University,113000,151000,71,2,5,159650,7440562,8547,38918
Carnegie Mellon University (CMU),108000,148000,,17,24,38000,1370622,1795,5958
Rensselaer Polytechnic Institute (RPI),98100,146000,,77,39,20462,538436,819,1902
Rice University,85200,142000,,40,15,25540,925898,1438,5481
University of Illinois at Urbana-Champaign (UIUC),92000,139000,80,21,44,111701,3251517,4724,13384
Johns Hopkins University,84600,138000,91,12,10,160964,6984340,8880,36774
Georgia Institute of Technology,98000,137000,,20,34,51443,1297896,3234,9931
Harvard University,95600,137000,79,4,2,373961,18892184,19832,92110
University of Colorado - Boulder (UCB),87900,137000,,45,92,64500,2171955,3301,11627
University of California - Berkeley,103000,132000,80,6,20,159585,6430306,7356,31230
University of Southern California (USC),88100,132000,71,31,23,87285,2863766,4247,16096
Purdue University - Main Campus,88900,130000,72,35,60,84425,2065985,3997,10414
University of California - San Diego (UCSD),91600,129000,70,22,44,127028,5508760,6323,25211
Cornell University - Ithaca NY,91900,128000,76,14,15,142257,5088916,6183,23613
Iowa State University,77600,128000,,98,111,56623,1326899,2457,6257
University of Chicago,79800,128000,76,6,3,127837,4866898,5836,25256
Texas A&M University - Main Campus,80600,127000,68,59,74,86531,1973724,4113,10505
Yale University,90300,127000,,8,3,122696,5287742,6229,27990
California Institute of Technology (Caltech),98500,125000,,1,12,74725,3510453,3216,17162
Columbia University,87100,125000,,11,5,136412,5307943,7293,30207
University of California - Los Angeles (UCLA),88100,125000,82,10,24,177485,6823431,7791,28625
University of California - Irvine (UCI),97400,122000,68,41,39,65495,2179393,3192,11544
University of Pennsylvania,77800,122000,,9,8,153007,5808156,7577,29893
University of Massachusetts (UMass) - Amherst Campus,90000,121000,,57,74,43126,1216709,2022,7307
University of California - Santa Barbara (UCSB),100000,119000,,24,37,53195,2104704,2245,8885
University of Maryland - College Park,85800,119000,71,33,60,82747,2294297,4305,13898
Boston University,85300,117000,,32,39,71736,2637530,3702,14933
North Carolina State University (NCSU),82200,117000,,64,92,61343,1325788,2974,6852
Northwestern University,82600,116000,35,15,12,96944,3405407,5378,21202
University of California - Davis (UC Davis),91100,116000,,26,44,116678,3292599,5364,16028
University of Wisconsin (UW) - Madison,81400,115000,72,23,44,141003,4688965,6024,18507
Virginia Polytechnic Institute and State University (Virginia Tech),88400,115000,81,77,74,52702,1014276,2750,5454
University of Illinois at Chicago,78600,114000,,63,152,64601,1580953,2948,9034
University of Washington (UW) - Main Campus,83100,113000,84,18,54,161472,6762882,7970,33786
Arizona State University (ASU),89300,112000,,48,129,54273,1324480,3221,7186
University of Arizona,85200,112000,73,56,124,89203,2829080,3819,12952
University of Florida (UF),78800,112000,64,49,50,121532,2869258,5681,14071
University of Michigan - Ann Arbor,88900,112000,64,16,27,175399,6067066,9158,31812
University of Virginia (UVA) - Main Campus,79500,112000,,46,24,68065,2205864,2940,10032
Auburn University,76900,109000,,136,99,28051,413888,1256,1761
Ohio State University (OSU) - Main Campus,88300,109000,79,36,54,121374,3128401,6285,20407
University of Tennessee,71200,109000,,77,103,44570,936971,2526,6772
Vanderbilt University,71100,109000,,44,15,72483,2535852,4084,16425
Michigan State University (MSU),79900,108000,,42,82,76686,2022700,3823,10559
Pennsylvania State University (Penn State) - Main Campus,92000,108000,73,34,50,116038,3316290,5525,15096
University of Kansas,76500,108000,,98,118,46436,1136500,2388,6506
Colorado State University (CSU),75500,107000,,86,129,43307,1131311,2036,4679
University of Minnesota - Twin Cities,84000,107000,67,28,71,148764,4875456,6647,19648
University of North Carolina at Chapel Hill (UNC),76400,107000,,29,30,102371,3706166,5349,18336
University of Texas (UT) - Austin,82200,107000,64,64,56,89051,2502624,4699,14517
Duke University,81600,105000,81,13,8,112553,4441076,6117,24459
University of Pittsburgh - Main Campus,78200,101000,57,37,68,111717,3865738,5654,21442
University of Utah,82300,99300,,64,111,68711,2235367,3634,12620
University of Georgia (UGA),77600,98500,,86,56,63520,1434903,2755,5635
Indiana University (IU) - Bloomington,73400,96600,91,54,86,46769,1238136,2244,6018
University of Iowa (UI),74100,96400,,64,82,76212,2432644,3091,9982
University of Notre Dame,76500,95000,,52,15,29997,747049,1586,5230
Florida State University (FSU),68900,88300,,64,92,38994,903336,2039,5721
University at Buffalo (UB),73500,85800,,77,99,48399,1183189,2200,6066
